file_name,road,sidewalk,building,wall,fence,pole,traffic_light,traffic_sign,vegetation,terrain,sky,person,rider,car,truck,bus,train,motorcycle,bicycle,visual_entropy,greenery,car_num,people_num,pole_num,isline,streetlamp_num,is_safe,complexity
12952(90)_pred.jpg,0.232106481,1.59E-05,5.79E-06,0.026302083,0,4.34E-06,0,0,0.412818287,0.025451389,0.1730136,0,0,0,0,0,0,0,0,0.51993667,0.438269676,0,0,2,0,0,1,1.197198311
12952(-90)_pred.jpg,0.220413773,0.001568287,0.00785735,0.001378762,0,4.34E-06,0,2.89E-06,0.296796875,0.073716725,0.25677662,0,0,0,0,0,0,0,0,0.561342518,0.3705136,0,0,1,0,2,1,1.292538874
13030(180)_pred.jpg,0.192916667,0.000146123,0.00802228,0,0,0.000432581,0,7.23E-06,0.168628472,0.00234809,0.446144387,0,0,5.93E-05,0,0,0,0,0,0.449899727,0.170976562,1,0,5,1,0,1,1.035932215
13030(270)_pred.jpg,0.095552662,0.007175926,0.261958912,0,4.34E-06,0.010046296,0,0.001140046,0.010623553,1.45E-06,0.405805845,0,0,0.000154803,0,0,0,0,0,0.469189575,0.010625,1,0,1,1,0,1,1.080348952
13049(90)_pred.jpg,0.21327691,0.006631944,0.083773148,1.45E-05,0.00119647,0.00041956,0,0,0.482197627,0.006676794,0.026372975,0,0,0,0,0,0,0,0,0.461677362,0.488874421,0,1,2,1,1,1,1.063051739
13049(-90)_pred.jpg,0.214622396,0.041733218,0.031603009,0,0.000497685,0.00020544,0,0.001380208,0.195721933,6.66E-05,0.31818287,0,0,9.55E-05,0,0,0,0,0,0.552314446,0.195788484,2,1,3,1,2,1,1.271751546
13061(270)_pred.jpg,0.032203414,0.113234954,0.190457176,0,0.094746817,0.002730035,0,0,0.065759549,0,0.3515625,0,0,0,0,0,1.45E-06,0,0,0.633654908,0.065759549,0,0,0,1,1,1,1.459044387
